rem,seccion,seccion_nombre,codigo_prestacion,detalle_prestacion,detalle_niveles,fila_excel
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150601,Personas bajo control según patología y factores de riesgo (existencia) - Hipertensión Arterial,Personas bajo control según patología y factores de riesgo (existencia) - Hipertensión Arterial,16
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,17
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190900,Personas bajo control según patología y factores de riesgo (existencia) - Antecedentes de Infarto Agudo al Miocardio (IAM),Personas bajo control según patología y factores de riesgo (existencia) - Antecedentes de Infarto Agudo al Miocardio (IAM),20
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190910,Personas bajo control según patología y factores de riesgo (existencia) - Antecedentes de Ataque Cerebro Vascular (ACV),Personas bajo control según patología y factores de riesgo (existencia) - Antecedentes de Ataque Cerebro Vascular (ACV),21
P4,B,METAS DE COMPENSACIÓN,P4180200,Personas Bajo Control por Hipertensión - PA < 140/90 mmHg,Personas Bajo Control por Hipertensión - PA < 140/90 mmHg,28
P4,B,METAS DE COMPENSACIÓN,P4200100,Personas Bajo Control por Hipertensión - PA < 150/90 mmHg,Personas Bajo Control por Hipertensión - PA < 150/90 mmHg,29
P4,B,METAS DE COMPENSACIÓN,P4180300,Personas Bajo Control por Diabetes Mellitus - HbA1C<7%,Personas Bajo Control por Diabetes Mellitus - HbA1C<7%,30
P4,B,METAS DE COMPENSACIÓN,P4200200,Personas Bajo Control por Diabetes Mellitus - HbA1C<8%,Personas Bajo Control por Diabetes Mellitus - HbA1C<8%,31
P4,B,METAS DE COMPENSACIÓN,P4401013,Personas bajo control con antecedentes de Infarto agudo al miocardio (IAM) - En tratamiento con Antiagregantes plaquetarios,Personas bajo control con antecedentes de Infarto agudo al miocardio (IAM) - En tratamiento con Antiagregantes plaquetarios,37
P4,B,METAS DE COMPENSACIÓN,P4401014,Personas bajo control con antecedentes de Infarto agudo al miocardio (IAM) - En tratamiento con Estatina,Personas bajo control con antecedentes de Infarto agudo al miocardio (IAM) - En tratamiento con Estatina,38
P4,B,METAS DE COMPENSACIÓN,P4401016,Personas bajo control con Antecedentes de Ataque Cerebrovascular (ACV) - En tratamiento con Antiagregantes plaquetarios,Personas bajo control con Antecedentes de Ataque Cerebrovascular (ACV) - En tratamiento con Antiagregantes plaquetarios,40
P4,B,METAS DE COMPENSACIÓN,P4401017,Personas bajo control con Antecedentes de Ataque Cerebrovascular (ACV) - En tratamiento con Estatina,Personas bajo control con Antecedentes de Ataque Cerebrovascular (ACV) - En tratamiento con Estatina,41
P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4301040,Con velocidad de filtración glomerular estimada (VFGE) y con razón albúmina creatinina (RAC) vigente,Con velocidad de filtración glomerular estimada (VFGE) y con razón albúmina creatinina (RAC) vigente,50
P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4190950,"Con fondo de ojo, vigente","Con fondo de ojo, vigente",51
P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4180800,En tratamiento con insulina,En tratamiento con insulina,54
P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4200700,En tratamiento con insulina que logra meta con HBA1C según edad,En tratamiento con insulina que logra meta con HBA1C según edad,55
P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4190960,Con HBA1C >= 9 %,Con HBA1C >= 9 %,56
P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4401019,Con ERC (todas las etapas) y en tratamiento con IECA o ARA II,Con ERC (todas las etapas) y en tratamiento con IECA o ARA II,58
P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4190809,Con *evaluación vigente del pie según pauta de estimación del riesgo de ulceración en personas con diabetes - Riesgo bajo,Con *evaluación vigente del pie según pauta de estimación del riesgo de ulceración en personas con diabetes - Riesgo bajo,61
P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4170300,Con *evaluación vigente del pie según pauta de estimación del riesgo de ulceración en personas con diabetes - Riesgo moderado,Con *evaluación vigente del pie según pauta de estimación del riesgo de ulceración en personas con diabetes - Riesgo moderado,62
P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4190500,Con *evaluación vigente del pie según pauta de estimación del riesgo de ulceración en personas con diabetes - Riesgo alto,Con *evaluación vigente del pie según pauta de estimación del riesgo de ulceración en personas con diabetes - Riesgo alto,63
P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4190600,Con *evaluación vigente del pie según pauta de estimación del riesgo de ulceración en personas con diabetes - Riesgo máximo,Con *evaluación vigente del pie según pauta de estimación del riesgo de ulceración en personas con diabetes - Riesgo máximo,64
P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4301070,Con diagnóstico de enfermedad renal crónica,Con diagnóstico de enfermedad renal crónica,70
P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4302102,Retinopatía diabética,Retinopatía diabética,73
P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4301080,Con velocidad de filtración glomerular estimada (VFGE) y con razón albúmina creatinina (RAC) vigente,Con velocidad de filtración glomerular estimada (VFGE) y con razón albúmina creatinina (RAC) vigente,77
P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4200400,Con presión arterial igual o mayor 160/100 MMHG,Con presión arterial igual o mayor 160/100 MMHG,78
