rem,seccion,seccion_nombre,codigo_prestacion,detalle_prestacion,codigo_columna,columna_excel,columna_indice_excel,columna_detalle,columna_categoria,columna_subcategoria,columna_sub_subcategoria,columna_nivel_4,columna_nivel_5,columna_niveles,fila_excel
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,COL01,D,4,TOTAL - Ambos sexos,TOTAL,Ambos sexos,,,,"['TOTAL', 'Ambos sexos']",12
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,COL02,E,5,TOTAL - Hombres,TOTAL,Hombres,,,,"['TOTAL', 'Hombres']",12
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,COL03,F,6,TOTAL - Mujeres,TOTAL,Mujeres,,,,"['TOTAL', 'Mujeres']",12
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,COL04,G,7,RANGO ETARIO Y SEXO - 15 a 19 años - Hombres,RANGO ETARIO Y SEXO,15 a 19 años,Hombres,,,"['RANGO ETARIO Y SEXO', '15 a 19 años', 'Hombres']",12
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,COL05,H,8,RANGO ETARIO Y SEXO - 15 a 19 años - Mujeres,RANGO ETARIO Y SEXO,15 a 19 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '15 a 19 años', 'Mujeres']",12
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,COL06,I,9,RANGO ETARIO Y SEXO - 20 a 24 años - Hombres,RANGO ETARIO Y SEXO,20 a 24 años,Hombres,,,"['RANGO ETARIO Y SEXO', '20 a 24 años', 'Hombres']",12
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,COL07,J,10,RANGO ETARIO Y SEXO - 20 a 24 años - Mujeres,RANGO ETARIO Y SEXO,20 a 24 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '20 a 24 años', 'Mujeres']",12
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,COL08,K,11,RANGO ETARIO Y SEXO - 25 a 29 años - Hombres,RANGO ETARIO Y SEXO,25 a 29 años,Hombres,,,"['RANGO ETARIO Y SEXO', '25 a 29 años', 'Hombres']",12
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,COL09,L,12,RANGO ETARIO Y SEXO - 25 a 29 años - Mujeres,RANGO ETARIO Y SEXO,25 a 29 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '25 a 29 años', 'Mujeres']",12
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,COL10,M,13,RANGO ETARIO Y SEXO - 30 a 34 años - Hombres,RANGO ETARIO Y SEXO,30 a 34 años,Hombres,,,"['RANGO ETARIO Y SEXO', '30 a 34 años', 'Hombres']",12
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,COL11,N,14,RANGO ETARIO Y SEXO - 30 a 34 años - Mujeres,RANGO ETARIO Y SEXO,30 a 34 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '30 a 34 años', 'Mujeres']",12
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,COL12,O,15,RANGO ETARIO Y SEXO - 35 a 39 años - Hombres,RANGO ETARIO Y SEXO,35 a 39 años,Hombres,,,"['RANGO ETARIO Y SEXO', '35 a 39 años', 'Hombres']",12
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,COL13,P,16,RANGO ETARIO Y SEXO - 35 a 39 años - Mujeres,RANGO ETARIO Y SEXO,35 a 39 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '35 a 39 años', 'Mujeres']",12
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,COL14,Q,17,RANGO ETARIO Y SEXO - 40 a 44 años - Hombres,RANGO ETARIO Y SEXO,40 a 44 años,Hombres,,,"['RANGO ETARIO Y SEXO', '40 a 44 años', 'Hombres']",12
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,COL15,R,18,RANGO ETARIO Y SEXO - 40 a 44 años - Mujeres,RANGO ETARIO Y SEXO,40 a 44 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '40 a 44 años', 'Mujeres']",12
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,COL16,S,19,RANGO ETARIO Y SEXO - 45 a 49 años - Hombres,RANGO ETARIO Y SEXO,45 a 49 años,Hombres,,,"['RANGO ETARIO Y SEXO', '45 a 49 años', 'Hombres']",12
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,COL17,T,20,RANGO ETARIO Y SEXO - 45 a 49 años - Mujeres,RANGO ETARIO Y SEXO,45 a 49 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '45 a 49 años', 'Mujeres']",12
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,COL18,U,21,RANGO ETARIO Y SEXO - 50 a 54 años - Hombres,RANGO ETARIO Y SEXO,50 a 54 años,Hombres,,,"['RANGO ETARIO Y SEXO', '50 a 54 años', 'Hombres']",12
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,COL19,V,22,RANGO ETARIO Y SEXO - 50 a 54 años - Mujeres,RANGO ETARIO Y SEXO,50 a 54 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '50 a 54 años', 'Mujeres']",12
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,COL20,W,23,RANGO ETARIO Y SEXO - 55 a 59 años - Hombres,RANGO ETARIO Y SEXO,55 a 59 años,Hombres,,,"['RANGO ETARIO Y SEXO', '55 a 59 años', 'Hombres']",12
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,COL21,X,24,RANGO ETARIO Y SEXO - 55 a 59 años - Mujeres,RANGO ETARIO Y SEXO,55 a 59 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '55 a 59 años', 'Mujeres']",12
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,COL22,Y,25,RANGO ETARIO Y SEXO - 60 a 64 años - Hombres,RANGO ETARIO Y SEXO,60 a 64 años,Hombres,,,"['RANGO ETARIO Y SEXO', '60 a 64 años', 'Hombres']",12
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,COL23,Z,26,RANGO ETARIO Y SEXO - 60 a 64 años - Mujeres,RANGO ETARIO Y SEXO,60 a 64 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '60 a 64 años', 'Mujeres']",12
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,COL24,AA,27,RANGO ETARIO Y SEXO - 65 a 69 años - Hombres,RANGO ETARIO Y SEXO,65 a 69 años,Hombres,,,"['RANGO ETARIO Y SEXO', '65 a 69 años', 'Hombres']",12
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,COL25,AB,28,RANGO ETARIO Y SEXO - 65 a 69 años - Mujeres,RANGO ETARIO Y SEXO,65 a 69 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '65 a 69 años', 'Mujeres']",12
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,COL26,AC,29,RANGO ETARIO Y SEXO - 70 a 74 años - Hombres,RANGO ETARIO Y SEXO,70 a 74 años,Hombres,,,"['RANGO ETARIO Y SEXO', '70 a 74 años', 'Hombres']",12
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,COL27,AD,30,RANGO ETARIO Y SEXO - 70 a 74 años - Mujeres,RANGO ETARIO Y SEXO,70 a 74 años,Mujeres,,,"['RANGO ETARIO Y SEXO', '70 a 74 años', 'Mujeres']",12
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,COL28,AE,31,RANGO ETARIO Y SEXO - 75 a 79 años - Hombres,RANGO ETARIO Y SEXO,75 a 79 años,Hombres,,,"['RANGO ETARIO Y SEXO', '75 a 79 años', 'Hombres']",12
