rem,seccion,seccion_nombre,codigo_prestacion,detalle_prestacion,detalle_niveles,fila_excel
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150100,NUMERO DE PERSONAS EN PSCV,NUMERO DE PERSONAS EN PSCV,12
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190100,Clasificación del Riesgo Cardiovascular - Bajo,Clasificación del Riesgo Cardiovascular - Bajo,13
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150703,Clasificación del Riesgo Cardiovascular - Moderado,Clasificación del Riesgo Cardiovascular - Moderado,14
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150801,Clasificación del Riesgo Cardiovascular - Ato,Clasificación del Riesgo Cardiovascular - Ato,15
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150601,Personas bajo control según patología y factores de riesgo (existencia) - Hipertensión Arterial,Personas bajo control según patología y factores de riesgo (existencia) - Hipertensión Arterial,16
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,17
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150603,Personas bajo control según patología y factores de riesgo (existencia) - Dislipidemia,Personas bajo control según patología y factores de riesgo (existencia) - Dislipidemia,18
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150701,Personas bajo control según patología y factores de riesgo (existencia) - Tabaquismo ≥ 55 años,Personas bajo control según patología y factores de riesgo (existencia) - Tabaquismo ≥ 55 años,19
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190900,Personas bajo control según patología y factores de riesgo (existencia) - Antecedentes de Infarto Agudo al Miocardio (IAM),Personas bajo control según patología y factores de riesgo (existencia) - Antecedentes de Infarto Agudo al Miocardio (IAM),20
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190910,Personas bajo control según patología y factores de riesgo (existencia) - Antecedentes de Ataque Cerebro Vascular (ACV),Personas bajo control según patología y factores de riesgo (existencia) - Antecedentes de Ataque Cerebro Vascular (ACV),21
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4401010,Personas bajo control según patología y factores de riesgo (existencia) - Antecedentes de otras Enfermedades Cardiovasculares ECV (excepto IAM y ACV),Personas bajo control según patología y factores de riesgo (existencia) - Antecedentes de otras Enfermedades Cardiovasculares ECV (excepto IAM y ACV),22
P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4401011,Personas bajo control según patología y factores de riesgo (existencia) - Enfermedad renal crónica (etapas 1 a 5),Personas bajo control según patología y factores de riesgo (existencia) - Enfermedad renal crónica (etapas 1 a 5),23
P4,B,METAS DE COMPENSACIÓN,P4180200,Personas Bajo Control por Hipertensión - PA < 140/90 mmHg,Personas Bajo Control por Hipertensión - PA < 140/90 mmHg,28
P4,B,METAS DE COMPENSACIÓN,P4200100,Personas Bajo Control por Hipertensión - PA < 150/90 mmHg,Personas Bajo Control por Hipertensión - PA < 150/90 mmHg,29
P4,B,METAS DE COMPENSACIÓN,P4180300,Personas Bajo Control por Diabetes Mellitus - HbA1C<7%,Personas Bajo Control por Diabetes Mellitus - HbA1C<7%,30
P4,B,METAS DE COMPENSACIÓN,P4200200,Personas Bajo Control por Diabetes Mellitus - HbA1C<8%,Personas Bajo Control por Diabetes Mellitus - HbA1C<8%,31
P4,B,METAS DE COMPENSACIÓN,P4190920,Personas Bajo Control por Diabetes Mellitus - HbA1C<7% - PA < 140/90mmHg y Colesterol LDL < 70 mg/dl,Personas Bajo Control por Diabetes Mellitus - HbA1C<7% - PA < 140/90mmHg y Colesterol LDL < 70 mg/dl,32
P4,B,METAS DE COMPENSACIÓN,P4401012,Personas con RCV alto - Colesterol LDL < 70 mg/dL,Personas con RCV alto - Colesterol LDL < 70 mg/dL,33
P4,B,METAS DE COMPENSACIÓN,P4190930,"Personas bajo control con antecedentes enfermedad cardiovascular (ECV), excepto IAM y ACV - En tratamiento con Antiagregantes plaquetarios","Personas bajo control con antecedentes enfermedad cardiovascular (ECV), excepto IAM y ACV - En tratamiento con Antiagregantes plaquetarios",34
P4,B,METAS DE COMPENSACIÓN,P4190940,"Personas bajo control con antecedentes enfermedad cardiovascular (ECV), excepto IAM y ACV - En tratamiento con Estatina","Personas bajo control con antecedentes enfermedad cardiovascular (ECV), excepto IAM y ACV - En tratamiento con Estatina",35
P4,B,METAS DE COMPENSACIÓN,P4301030,"Personas bajo control con antecedentes enfermedad cardiovascular (ECV), excepto IAM y ACV - Fumador actual","Personas bajo control con antecedentes enfermedad cardiovascular (ECV), excepto IAM y ACV - Fumador actual",36
P4,B,METAS DE COMPENSACIÓN,P4401013,Personas bajo control con antecedentes de Infarto agudo al miocardio (IAM) - En tratamiento con Antiagregantes plaquetarios,Personas bajo control con antecedentes de Infarto agudo al miocardio (IAM) - En tratamiento con Antiagregantes plaquetarios,37
P4,B,METAS DE COMPENSACIÓN,P4401014,Personas bajo control con antecedentes de Infarto agudo al miocardio (IAM) - En tratamiento con Estatina,Personas bajo control con antecedentes de Infarto agudo al miocardio (IAM) - En tratamiento con Estatina,38
P4,B,METAS DE COMPENSACIÓN,P4401015,Personas bajo control con antecedentes de Infarto agudo al miocardio (IAM) - Fumador actual,Personas bajo control con antecedentes de Infarto agudo al miocardio (IAM) - Fumador actual,39
P4,B,METAS DE COMPENSACIÓN,P4401016,Personas bajo control con Antecedentes de Ataque Cerebrovascular (ACV) - En tratamiento con Antiagregantes plaquetarios,Personas bajo control con Antecedentes de Ataque Cerebrovascular (ACV) - En tratamiento con Antiagregantes plaquetarios,40
P4,B,METAS DE COMPENSACIÓN,P4401017,Personas bajo control con Antecedentes de Ataque Cerebrovascular (ACV) - En tratamiento con Estatina,Personas bajo control con Antecedentes de Ataque Cerebrovascular (ACV) - En tratamiento con Estatina,41
P4,B,METAS DE COMPENSACIÓN,P4401018,Personas bajo control con Antecedentes de Ataque Cerebrovascular (ACV) - Fumador actual,Personas bajo control con Antecedentes de Ataque Cerebrovascular (ACV) - Fumador actual,42
P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4190805,"Con razón albúmina creatinina (RAC), vigente","Con razón albúmina creatinina (RAC), vigente",48
P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4190806,"Con velocidad de filtración glomerular estimada (VFG), vigente","Con velocidad de filtración glomerular estimada (VFG), vigente",49
P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4301040,Con velocidad de filtración glomerular estimada (VFGE) y con razón albúmina creatinina (RAC) vigente,Con velocidad de filtración glomerular estimada (VFGE) y con razón albúmina creatinina (RAC) vigente,50
P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4190950,"Con fondo de ojo, vigente","Con fondo de ojo, vigente",51
P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4200600,Con atención podológica vigente,Con atención podológica vigente,52
P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4200300,Con ECG vigente,Con ECG vigente,53
P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4180800,En tratamiento con insulina,En tratamiento con insulina,54
P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4200700,En tratamiento con insulina que logra meta con HBA1C según edad,En tratamiento con insulina que logra meta con HBA1C según edad,55
