Ano,nivel,IdServicio,servicio_salud,beneficiarios_fonasa_15_mas
2024,rm,,,5108594
2024,servicio_salud,09,Servicio de Salud Metropolitano Norte,716599
2024,servicio_salud,10,Servicio de Salud Metropolitano Occidente,991462
2024,servicio_salud,11,Servicio de Salud Metropolitano Central,775709
2024,servicio_salud,12,Servicio de Salud Metropolitano Oriente,658855
2024,servicio_salud,13,Servicio de Salud Metropolitano Sur,940953
2024,servicio_salud,14,Servicio de Salud Metropolitano Sur Oriente,1025016
2025,rm,,,5255466
2025,servicio_salud,09,Servicio de Salud Metropolitano Norte,739530
2025,servicio_salud,10,Servicio de Salud Metropolitano Occidente,1016515
2025,servicio_salud,11,Servicio de Salud Metropolitano Central,805569
2025,servicio_salud,12,Servicio de Salud Metropolitano Oriente,682832
2025,servicio_salud,13,Servicio de Salud Metropolitano Sur,966544
2025,servicio_salud,14,Servicio de Salud Metropolitano Sur Oriente,1044476
