indicador,nombre_indicador,origen,rol,rem,seccion,seccion_nombre,codigo_prestacion,detalle_prestacion,fila_diccionario_rem,columnas_disponibles,nota_metodologica
1,Cobertura de hipertensión arterial (HTA),REM P4,numerador,P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150601,Personas bajo control según patología y factores de riesgo (existencia) - Hipertensión Arterial,16,35,Sección A -> Personas bajo control según patología y factores de riesgo -> Hipertensión arterial.
2,Control de HTA,REM P4,denominador,P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150601,Personas bajo control según patología y factores de riesgo (existencia) - Hipertensión Arterial,16,35,Sección A -> Personas bajo control según patología y factores de riesgo -> Hipertensión arterial.
2,Control de HTA,REM P4,numerador,P4,B,METAS DE COMPENSACIÓN,P4180200,Personas Bajo Control por Hipertensión - PA < 140/90 mmHg,28,35,Sección B -> Personas bajo control por hipertensión -> PA < 140/90 mmHg.
2,Control de HTA,REM P4,numerador,P4,B,METAS DE COMPENSACIÓN,P4200100,Personas Bajo Control por Hipertensión - PA < 150/90 mmHg,29,35,Sección B -> Personas bajo control por hipertensión -> PA < 150/90 mmHg.
3,Cobertura efectiva (tasa de control poblacional) de HTA,REM P4,numerador,P4,B,METAS DE COMPENSACIÓN,P4180200,Personas Bajo Control por Hipertensión - PA < 140/90 mmHg,28,35,Sección B -> Personas bajo control por hipertensión -> PA < 140/90 mmHg.
3,Cobertura efectiva (tasa de control poblacional) de HTA,REM P4,numerador,P4,B,METAS DE COMPENSACIÓN,P4200100,Personas Bajo Control por Hipertensión - PA < 150/90 mmHg,29,35,Sección B -> Personas bajo control por hipertensión -> PA < 150/90 mmHg.
4,"Porcentaje de personas con diagnóstico de HTA, muy descompensadas",REM P4,denominador,P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150601,Personas bajo control según patología y factores de riesgo (existencia) - Hipertensión Arterial,16,35,Sección A -> Personas bajo control según patología y factores de riesgo -> Hipertensión arterial.
4,"Porcentaje de personas con diagnóstico de HTA, muy descompensadas",REM P4,numerador,P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4200400,Con presión arterial igual o mayor 160/100 MMHG,78,35,Sección C -> Personas con hipertensión en PSCV -> Con presión arterial igual o mayor a 160/100 mmHg.
5,Cobertura de evaluación del Índice de Madurez HEARTS,No REM,,,,,,,,,Fuente de información respectiva del índice HEARTS.
6,Cobertura de diabetes mellitus tipo 2 (DM2),REM P4,numerador,P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,17,35,Sección A -> Personas bajo control según patología y factores de riesgo -> Diabetes mellitus tipo 2.
7,Control de DM2,REM P4,denominador,P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,17,35,Sección A -> Personas bajo control según patología y factores de riesgo -> Diabetes mellitus tipo 2.
7,Control de DM2,REM P4,numerador,P4,B,METAS DE COMPENSACIÓN,P4180300,Personas Bajo Control por Diabetes Mellitus - HbA1C<7%,30,35,Sección B -> Personas bajo control por diabetes mellitus -> HbA1C < 7%.
7,Control de DM2,REM P4,numerador,P4,B,METAS DE COMPENSACIÓN,P4200200,Personas Bajo Control por Diabetes Mellitus - HbA1C<8%,31,35,Sección B -> Personas bajo control por diabetes mellitus -> HbA1C < 8%.
8,Cobertura efectiva (tasa de control poblacional) de DM2,REM P4,numerador,P4,B,METAS DE COMPENSACIÓN,P4180300,Personas Bajo Control por Diabetes Mellitus - HbA1C<7%,30,35,Sección B -> Personas bajo control por diabetes mellitus -> HbA1C < 7%.
8,Cobertura efectiva (tasa de control poblacional) de DM2,REM P4,numerador,P4,B,METAS DE COMPENSACIÓN,P4200200,Personas Bajo Control por Diabetes Mellitus - HbA1C<8%,31,35,Sección B -> Personas bajo control por diabetes mellitus -> HbA1C < 8%.
9,"Porcentaje de personas con diagnóstico de DM2, muy descompensadas",REM P4,denominador,P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,17,35,Sección A -> Personas bajo control según patología y factores de riesgo -> Diabetes mellitus tipo 2.
9,"Porcentaje de personas con diagnóstico de DM2, muy descompensadas",REM P4,numerador,P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4190960,Con HBA1C >= 9 %,56,35,Sección C -> Personas con diabetes en PSCV -> Con HBA1C >= 9 %.
10,"Porcentaje de personas con diagnóstico de DM2, compensada, usuarias de insulina",REM P4,denominador,P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4180800,En tratamiento con insulina,54,35,Sección C -> Personas con diabetes en PSCV -> En tratamiento con insulina.
10,"Porcentaje de personas con diagnóstico de DM2, compensada, usuarias de insulina",REM P4,numerador,P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4200700,En tratamiento con insulina que logra meta con HBA1C según edad,55,35,Sección C -> Personas con diabetes en PSCV -> En tratamiento con insulina que logra meta con HBA1C según edad.
11,"Porcentaje de personas con diagnóstico de DM2, con evaluación de pie diabético vigente",REM P4,denominador,P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,17,35,Sección A -> Personas bajo control según patología y factores de riesgo -> Diabetes mellitus tipo 2.
11,"Porcentaje de personas con diagnóstico de DM2, con evaluación de pie diabético vigente",REM P4,numerador,P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4170300,Con *evaluación vigente del pie según pauta de estimación del riesgo de ulceración en personas con diabetes - Riesgo moderado,62,35,Sección C -> Evaluación del pie diabético vigente -> Riesgo moderado.
11,"Porcentaje de personas con diagnóstico de DM2, con evaluación de pie diabético vigente",REM P4,numerador,P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4190500,Con *evaluación vigente del pie según pauta de estimación del riesgo de ulceración en personas con diabetes - Riesgo alto,63,35,Sección C -> Evaluación del pie diabético vigente -> Riesgo alto.
11,"Porcentaje de personas con diagnóstico de DM2, con evaluación de pie diabético vigente",REM P4,numerador,P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4190600,Con *evaluación vigente del pie según pauta de estimación del riesgo de ulceración en personas con diabetes - Riesgo máximo,64,35,Sección C -> Evaluación del pie diabético vigente -> Riesgo máximo.
11,"Porcentaje de personas con diagnóstico de DM2, con evaluación de pie diabético vigente",REM P4,numerador,P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4190809,Con *evaluación vigente del pie según pauta de estimación del riesgo de ulceración en personas con diabetes - Riesgo bajo,61,35,Sección C -> Evaluación del pie diabético vigente -> Riesgo bajo.
12,Porcentaje de personas con diagnóstico de DM2 y tamizaje de RD vigente,REM P4,ajuste_denominador,P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4302102,Retinopatía diabética,73,35,La planilla descuenta retinopatía diabética en el denominador; este código queda marcado para esa depuración.
12,Porcentaje de personas con diagnóstico de DM2 y tamizaje de RD vigente,REM P4,denominador,P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,17,35,Base de personas con diabetes mellitus tipo 2 bajo control.
12,"Porcentaje de personas con diagnóstico de DM2, con evaluación de fondo de ojo (FO) vigente",REM P4,denominador,P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,17,35,Sección A -> Personas bajo control según patología y factores de riesgo -> Diabetes mellitus tipo 2.
12,Porcentaje de personas con diagnóstico de DM2 y tamizaje de RD vigente,REM P4,numerador,P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4190950,"Con fondo de ojo, vigente",51,35,"La planilla menciona tamizaje de RD; en el diccionario P4 vigente la prestación observable es 'Con fondo de ojo, vigente'."
12,"Porcentaje de personas con diagnóstico de DM2, con evaluación de fondo de ojo (FO) vigente",REM P4,numerador,P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4190950,"Con fondo de ojo, vigente",51,35,"Sección C -> Personas con diabetes en PSCV -> Con fondo de ojo, vigente."
13,"Porcentaje de personas con diagnóstico de HTA, con evaluación de función renal",REM P4,denominador,P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150601,Personas bajo control según patología y factores de riesgo (existencia) - Hipertensión Arterial,16,35,Sección A -> Personas bajo control según patología y factores de riesgo -> Hipertensión arterial.
13,"Porcentaje de personas con diagnóstico de HTA, con evaluación de función renal",REM P4,numerador,P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4301080,Con velocidad de filtración glomerular estimada (VFGE) y con razón albúmina creatinina (RAC) vigente,77,35,Sección C -> Personas con hipertensión en PSCV -> Con VFGE y RAC vigente.
14,"Porcentaje de personas con diagnóstico de DM2, con evaluación de función renal",REM P4,denominador,P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4150602,Personas bajo control según patología y factores de riesgo (existencia) - Diabetes Mellitus tipo 2,17,35,Sección A -> Personas bajo control según patología y factores de riesgo -> Diabetes mellitus tipo 2.
14,"Porcentaje de personas con diagnóstico de DM2, con evaluación de función renal",REM P4,numerador,P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4301040,Con velocidad de filtración glomerular estimada (VFGE) y con razón albúmina creatinina (RAC) vigente,50,35,Sección C -> Personas con diabetes en PSCV -> Con VFGE y RAC vigente.
15,Porcentaje de personas con diagnóstico de DM y ERC en tratamiento de prevención secundaria de ERC,REM P4,denominador,P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4301070,Con diagnóstico de enfermedad renal crónica,70,35,Sección C -> Personas con diabetes en PSCV -> Con diagnóstico de enfermedad renal crónica.
15,Porcentaje de personas con diagnóstico de DM y ERC en tratamiento de prevención secundaria de ERC,REM P4,numerador,P4,C,VARIABLES DE SEGUIMIENTO DEL PSCV AL CORTE,P4401019,Con ERC (todas las etapas) y en tratamiento con IECA o ARA II,58,35,Sección C -> Personas con diabetes en PSCV -> Con ERC y en tratamiento con IECA o ARA II.
16,"Porcentaje de personas con diagnóstico de enfermedad cardio-cerebrovascular (ECV), en tratamiento con antiagregante plaquetario",REM P4,denominador,P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190900,Personas bajo control según patología y factores de riesgo (existencia) - Antecedentes de Infarto Agudo al Miocardio (IAM),20,35,Sección A -> Antecedentes de infarto agudo al miocardio (IAM).
16,"Porcentaje de personas con diagnóstico de enfermedad cardio-cerebrovascular (ECV), en tratamiento con antiagregante plaquetario",REM P4,denominador,P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190910,Personas bajo control según patología y factores de riesgo (existencia) - Antecedentes de Ataque Cerebro Vascular (ACV),21,35,Sección A -> Antecedentes de ataque cerebrovascular (ACV).
16,"Porcentaje de personas con diagnóstico de enfermedad cardio-cerebrovascular (ECV), en tratamiento con antiagregante plaquetario",REM P4,numerador,P4,B,METAS DE COMPENSACIÓN,P4401013,Personas bajo control con antecedentes de Infarto agudo al miocardio (IAM) - En tratamiento con Antiagregantes plaquetarios,37,35,Sección B -> Personas con antecedentes de IAM -> En tratamiento con antiagregantes plaquetarios.
16,"Porcentaje de personas con diagnóstico de enfermedad cardio-cerebrovascular (ECV), en tratamiento con antiagregante plaquetario",REM P4,numerador,P4,B,METAS DE COMPENSACIÓN,P4401016,Personas bajo control con Antecedentes de Ataque Cerebrovascular (ACV) - En tratamiento con Antiagregantes plaquetarios,40,35,Sección B -> Personas con antecedentes de ACV -> En tratamiento con antiagregantes plaquetarios.
17,"Porcentaje de personas con diagnóstico de ECV, en tratamiento con estatinas",REM P4,denominador,P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190900,Personas bajo control según patología y factores de riesgo (existencia) - Antecedentes de Infarto Agudo al Miocardio (IAM),20,35,Sección A -> Antecedentes de infarto agudo al miocardio (IAM).
17,"Porcentaje de personas con diagnóstico de ECV, en tratamiento con estatinas",REM P4,denominador,P4,A,PROGRAMA SALUD CARDIOVASCULAR (PSCV),P4190910,Personas bajo control según patología y factores de riesgo (existencia) - Antecedentes de Ataque Cerebro Vascular (ACV),21,35,Sección A -> Antecedentes de ataque cerebrovascular (ACV).
17,"Porcentaje de personas con diagnóstico de ECV, en tratamiento con estatinas",REM P4,numerador,P4,B,METAS DE COMPENSACIÓN,P4401014,Personas bajo control con antecedentes de Infarto agudo al miocardio (IAM) - En tratamiento con Estatina,38,35,Sección B -> Personas con antecedentes de IAM -> En tratamiento con estatina.
17,"Porcentaje de personas con diagnóstico de ECV, en tratamiento con estatinas",REM P4,numerador,P4,B,METAS DE COMPENSACIÓN,P4401017,Personas bajo control con Antecedentes de Ataque Cerebrovascular (ACV) - En tratamiento con Estatina,41,35,Sección B -> Personas con antecedentes de ACV -> En tratamiento con estatina.
18,Tasa de egresos hospitalarios por enfermedad cerebrovascular,DEIS/FONASA,,,,,,,,,Tablero DEIS Egresos Hospitalarios + población beneficiaria FONASA.
19,Tasa de egresos hospitalarios por enfermedades isquémicas del corazón,DEIS/FONASA,,,,,,,,,Tablero DEIS Egresos Hospitalarios + población beneficiaria FONASA.
20,Tasa de egresos hospitalarios por insuficiencia cardiaca,DEIS/FONASA,,,,,,,,,Tablero DEIS Egresos Hospitalarios + población beneficiaria FONASA.
21,Tasa de egresos hospitalarios por diabetes mellitus,DEIS/FONASA,,,,,,,,,Tablero DEIS Egresos Hospitalarios + población beneficiaria FONASA.
22,Tasa de egresos hospitalarios en personas con diabetes mellitus y amputación del pie diabético de establecimientos pertenecientes al SNSS,DEIS/FONASA,,,,,,,,,Tablero PSCV DEIS + población beneficiaria FONASA.
