indicador_id,nombre_indicador,grupo_indicador,unidad,anios_disponibles,metodo_base
1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,"2024,2025","Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
10,"Porcentaje de personas con diagnóstico de DM2, compensada, usuarias de insulina",DM2 y seguimiento,%,"2024,2025","Mes 12, Col01 total."
11,"Porcentaje de personas con diagnóstico de DM2, con evaluación de pie diabético vigente",DM2 y seguimiento,%,"2024,2025","Mes 12, Col01 total."
12b,"Porcentaje de personas con diagnóstico de DM2, con evaluación de fondo de ojo vigente",DM2 y seguimiento,%,"2024,2025","Mes 12, Col01 total."
13,"Porcentaje de personas con diagnóstico de HTA, con evaluación de función renal",Función renal y ERC,%,"2024,2025","Mes 12, Col01 total."
14,"Porcentaje de personas con diagnóstico de DM2, con evaluación de función renal",Función renal y ERC,%,"2024,2025","Mes 12, Col01 total."
15,Porcentaje de personas con diagnóstico de DM y ERC en tratamiento de prevención secundaria de ERC,Función renal y ERC,%,2025,"Mes 12, Col01 total."
16,"Porcentaje de personas con diagnóstico de ECV, en tratamiento con antiagregante plaquetario",ECV y prevención secundaria,%,"2024,2025","Mes 12, Col01 total."
17,"Porcentaje de personas con diagnóstico de ECV, en tratamiento con estatinas",ECV y prevención secundaria,%,"2024,2025","Mes 12, Col01 total."
2,Control de HTA,HTA y HEARTS,%,"2024,2025","Mes 12, Col01 total."
3,Cobertura efectiva (tasa de control poblacional) de HTA,HTA y HEARTS,%,"2024,2025","Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
4,"Porcentaje de personas con diagnóstico de HTA, muy descompensadas",HTA y HEARTS,%,"2024,2025","Mes 12, Col01 total."
6,Cobertura de diabetes mellitus tipo 2 (DM2),DM2 y seguimiento,%,"2024,2025","Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
7,Control de DM2,DM2 y seguimiento,%,"2024,2025","Mes 12, Col01 total."
8,Cobertura efectiva (tasa de control poblacional) de DM2,DM2 y seguimiento,%,"2024,2025","Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS."
9,"Porcentaje de personas con diagnóstico de DM2, muy descompensadas",DM2 y seguimiento,%,"2024,2025","Mes 12, Col01 total."
