Ano,indicador_id,nombre_indicador,grupo_indicador,unidad,estado_calculo,metodo_calculo,numerador,denominador,establecimientos_reportantes,establecimientos_con_denominador,nivel,calculable,valor,IdServicio,servicio_salud,IdComuna,comuna,IdEstablecimiento,establecimiento,tipo_establecimiento,dependencia,nivel_atencion,estado_funcionamiento,es_aps,valor_orden
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",738373.0,1272273.06,287,283,rm,True,58.03573330398114,,,,,,,,,,,,58.03573330398114
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",100755.0,176882.604,47,44,servicio_salud,True,56.96150877561708,09,Servicio de Salud Metropolitano Norte,,,,,,,,,,56.96150877561708
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",148935.0,257121.324,79,72,servicio_salud,True,57.924017223868994,10,Servicio de Salud Metropolitano Occidente,,,,,,,,,,57.924017223868994
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",82774.0,158338.164,29,27,servicio_salud,True,52.27672085423449,11,Servicio de Salud Metropolitano Central,,,,,,,,,,52.27672085423449
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",99936.0,161882.832,22,32,servicio_salud,True,61.733538242029276,12,Servicio de Salud Metropolitano Oriente,,,,,,,,,,61.733538242029276
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",136831.0,248039.544,65,63,servicio_salud,True,55.164994175283596,13,Servicio de Salud Metropolitano Sur,,,,,,,,,,55.164994175283596
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",169142.0,270008.592,45,45,servicio_salud,True,62.64319173961693,14,Servicio de Salud Metropolitano Sur Oriente,,,,,,,,,,62.64319173961693
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",18520.0,27090.504,7,6,comuna,True,68.3634383472526,09,Servicio de Salud Metropolitano Norte,13104,Conchalí,,,,,,,,68.3634383472526
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",11060.0,16990.284,5,5,comuna,True,65.09602782390218,09,Servicio de Salud Metropolitano Norte,13107,Huechuraba,,,,,,,,65.09602782390218
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",10379.0,19870.068,3,3,comuna,True,52.23434564994947,09,Servicio de Salud Metropolitano Norte,13108,Independencia,,,,,,,,52.23434564994947
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",21348.0,35958.108,7,7,comuna,True,59.36908582620642,09,Servicio de Salud Metropolitano Norte,13125,Quilicura,,,,,,,,59.36908582620642
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",18069.0,29965.044,5,5,comuna,True,60.300261865125236,09,Servicio de Salud Metropolitano Norte,13127,Recoleta,,,,,,,,60.300261865125236
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",11343.0,26489.928,9,8,comuna,True,42.82004843501274,09,Servicio de Salud Metropolitano Norte,13301,Colina,,,,,,,,42.82004843501274
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",7690.0,17084.399999999998,5,5,comuna,True,45.01182365198662,09,Servicio de Salud Metropolitano Norte,13302,Lampa,,,,,,,,45.01182365198662
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",2346.0,3434.268,6,5,comuna,True,68.3115004420156,09,Servicio de Salud Metropolitano Norte,13303,Tiltil,,,,,,,,68.3115004420156
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",175.0,0.0,1,0,comuna,False,,10,Servicio de Salud Metropolitano Occidente,13101,Santiago,,,,,,,,
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",17087.0,29205.492000000002,6,5,comuna,True,58.506119328515325,10,Servicio de Salud Metropolitano Occidente,13103,Cerro Navia,,,,,,,,58.506119328515325
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",18892.0,30632.412,4,4,comuna,True,61.67323683162789,10,Servicio de Salud Metropolitano Occidente,13117,Lo Prado,,,,,,,,61.67323683162789
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",24658.0,48194.015999999996,13,11,comuna,True,51.164028330820166,10,Servicio de Salud Metropolitano Occidente,13124,Pudahuel,,,,,,,,51.164028330820166
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",14149.0,22383.324,6,6,comuna,True,63.21223782490929,10,Servicio de Salud Metropolitano Occidente,13126,Quinta Normal,,,,,,,,63.21223782490929
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",12608.0,31408.8,4,4,comuna,True,40.14161636229337,10,Servicio de Salud Metropolitano Occidente,13128,Renca,,,,,,,,40.14161636229337
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",16007.0,26995.284,12,11,comuna,True,59.295542139878954,10,Servicio de Salud Metropolitano Occidente,13501,Melipilla,,,,,,,,59.295542139878954
