orden,indicador_id,indicador_numero_base,nombre_indicador,grupo_indicador,fuente_principal,estado_local,numerador,denominador,amplificador,valor_2019,valor_2021,valor_2022,valor_2023,valor_2024,valor_2025,valor_2024_rm,numerador_2024_rm,denominador_2024_rm,ultimo_ano_disponible,ultimo_valor_disponible
1.0,1,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,REM P4 + PIV,Exacto,"Número de personas bajo control con diagnóstico de HTA, en el año x.

Fuente: Serie P -> REM P4 -> Sección A -> Número de personas en PSCV ->Personas bajo control según patología y factores de riesgo -> Hipertensión arterial","Número de personas con HTA según prevalencia estimada en la población inscrita validada, en el año x.

Fuente: Población inscrita validada FONASA de 15 años y más, x prevalencia HTA según ENS (27,6%)",100.0,0.633,,0.582,0.603,0.569,0.612,0.5801909816643307,733785.0,1264730.103,2025.0,0.612
2.0,2,2,Control de HTA,HTA y HEARTS,REM P4,Exacto,"Número de personas bajo control con diagnóstico de HTA, con presión arterial menor a 140/90 mmHg (15 a 79 años) + Número de personas bajo control con diagnóstico de HTA, con presión arterial menor a 150/90 mmHg (mayores de 80 años), en el año x.

Fuente: Serie P -> REM P4 -> Sección B: Metas de Compensación -> Personas bajo control por HTA -> PA < 140/90mmHg + PA < 150/90 mmHg","Número de personas bajo control con diagnóstico de HTA, en el año x.

Fuente: Serie P -> REM P4 -> Sección A -> Número de personas en PSCV ->Personas bajo control según patología y factores de riesgo -> Hipertensión arterial",100.0,0.695,,0.611,0.632,0.647,,,,,2024.0,0.647
3.0,3,3,Cobertura efectiva (tasa de control poblacional) de HTA,HTA y HEARTS,REM P4 + PIV,Exacto,"Número de personas bajo control con diagnóstico de HTA, con presión arterial menor a 140/90 mmHg (15 a 79 años) + Número de personas bajo control con diagnóstico de HTA, con presión arterial menor a 150/90 mmHg (mayores de 80 años), en el año x.

Fuente: Serie P -> REM P4 -> Sección B: Metas de Compensación -> Personas bajo control por HTA -> PA < 140/90mmHg + PA < 150/90 mmHg","Número de personas con HTA según prevalencia estimada en la población inscrita validada, en el año x.

Fuente: Población inscrita validada FONASA de 15 años y más, x prevalencia HTA según ENS (27,6%)",100.0,0.44,,0.356,0.376,0.368,0.407,0.3737809346663428,472732.0,1264730.103,2025.0,0.407
4.0,4,4,"Porcentaje de personas con diagnóstico de HTA, muy descompensadas",HTA y HEARTS,REM P4,Exacto,"Número de personas bajo control con diagnóstico de HTA, con presión arterial igual o mayor a 160/100 mmHg, en el año x.

Fuente: Serie P -> REM P4 -> Sección C: Variables de seguimiento del PSCV al corte -> Personas con HTA en el PSCV -> Con presión arterial igual o mayor a 160/100 mmHg","Número de personas bajo control con diagnóstico de HTA, en el año x.

Fuente: Serie P -> REM P4 -> Sección A (Número de personas en PSCV -> Personas bajo control según patología y factores de riesgo -> Hipertensión arterial",100.0,0.052,,0.0644,0.0595,0.053,0.07,0.04383709124607344,32167.0,733785.0,2025.0,0.07
5.0,5,5,Cobertura de evaluación del Índice de Madurez HEARTS,HTA y HEARTS,Fuente externa HEARTS,No factible,Obtención del indicador de la fuente de información respectiva,,100.0,,,,,,,0.32714078374455735,240051.0,733785.0,,
6.0,6,6,Cobertura de diabetes mellitus tipo 2 (DM2),DM2 y seguimiento,REM P4 + PIV,Exacto,"Número de personas bajo control con diagnóstico de DM2, en el año x.

Fuente: Serie P -> REM P4 Sección A -> Número de personas en PSCV ->Personas bajo control según patología y factores de riesgo -> Diabetes mellitus tipo 2","Número de personas con DM2 según prevalencia estimada en la población inscrita validada, en el año x.

Fuente: Población inscrita validada FONASA de 15 años y más, x prevalencia DM2 según ENS (12,3%)",100.0,0.675,,0.664,0.696,0.649,0.732,0.6259096534589285,356658.0,569823.453,2025.0,0.732
7.0,7,7,Control de DM2,DM2 y seguimiento,REM P4,Exacto,"Número de personas bajo control con diagnóstico de DM2, con HbA1c menor a 7% (15 a 79 años) + Número de personas bajo control con diagnóstico de DM2, con HbA1c menor a 8% (mayores de 80 años), en el año x.

Fuente: Serie P -> REM P4 -> Sección B: Metas de Compensación -> Personas bajo control por DM -> HbA1C <7% + HbA1C <8%","Número de personas bajo control con diagnóstico de DM2, en el año x.

Fuente: Serie P -> REM P4 Sección A -> Número de personas en PSCV ->Personas bajo control según patología y factores de riesgo -> Diabetes mellitus tipo 2",100.0,0.47,,0.415,0.444,0.453,,,,,2024.0,0.453
8.0,8,8,Cobertura efectiva (tasa de control poblacional) de DM2,DM2 y seguimiento,REM P4 + PIV,Exacto,"Número de personas bajo control con diagnóstico de DM2, con HbA1c menor a 7% (15 a 79 años) + Número de personas bajo control con diagnóstico de DM2, con HbA1c menor a 8% (mayores de 80 años), en el año x.

Fuente: Serie P -> REM P4 -> Sección B: Metas de Compensación -> Personas bajo control por DM -> HbA1C <7% + HbA1C <8%","Número de personas con DM2 según prevalencia estimada en la población inscrita validada, en el año x.

Fuente: Población inscrita validada FONASA de 15 años y más, x prevalencia DM2 según ENS (12,3%)",100.0,0.317,,0.276,0.305,0.294,0.323,0.27883022217409503,158884.0,569823.453,2025.0,0.323
9.0,9,9,"Porcentaje de personas con diagnóstico de DM2, muy descompensadas",DM2 y seguimiento,REM P4,Exacto,"Número de personas bajo control con diagnóstico de DM2, con HbA1c mayor o igual a 9%, en el año x.

Fuente: Serie P -> REM P4 -> Sección C: Variables de seguimiento del PSCV al corte -> Personas con diabetes en el PSCV -> Con HbA1C >= 9%","Número de personas bajo control con diagnóstico de DM2, en el año x.

Fuente: Serie P -> REM P4 Sección A -> Número de personas en PSCV -> Personas bajo control según patología y factores de riesgo -> Diabetes mellitus tipo 2",100.0,0.192,,0.199,0.189,0.199,0.197,0.1928822569520381,68793.0,356658.0,2025.0,0.197
10.0,10,10,"Porcentaje de personas con diagnóstico de DM2, compensada, usuarias de insulina",DM2 y seguimiento,REM P4,Exacto,"Número de personas bajo control con diagnóstico de DM2, compensada (HbA1c <7%), usuarios de insulina.

Fuente: Serie P-> REM P4 -> Sección C: Variables de seguimiento de PSCV al corte -> Personas con diabetes en PSCV-> En tratamiento con insulina que logra meta con HbA1C según edad","Número de personas bajo control con diagnóstico de DM2, usuarias de insulina.

Fuente: Serie P-> REM P4 -> Sección C: Variables de seguimiento de PSCV al corte -> Personas con diabetes en PSCV-> En tratamiento con insulina",100.0,0.238,,0.236,0.227,0.221,0.24,0.21344226599793426,22938.0,107467.0,2025.0,0.24
11.0,11,11,"Porcentaje de personas con diagnóstico de DM2, con evaluación de pie diabético vigente",DM2 y seguimiento,REM P4,Exacto,"Número de personas bajo control con diagnóstico de DM2 y evaluación de pie diabético vigente.

Fuente: Serie P-> REM P4 -> Sección C: Variables de seguimiento de PSCV al corte -> Personas con diabetes en el PSCV ->Con ""evaluación vigente del pie según pauta de estimación del riesgo de ulceración"" -> Riesgo bajo + Riesgo moderado + Riesgo alto + Riesgo máximo","Número de personas bajo control con diagnóstico de DM2, en el año x.

Fuente: Serie P -> REM P4 Sección A -> Número de personas en PSCV -> Personas bajo control según patología y factores de riesgo -> Diabetes mellitus tipo 2",100.0,0.81,,0.765,0.8,0.828,0.83,0.7929192671971469,282801.0,356658.0,2025.0,0.83
12.1,12a,12,Porcentaje de personas con diagnóstico de DM2 y tamizaje de RD vigente,DM2 y seguimiento,REM P4 (parcial),Parcial,"Número de personas bajo control con diagnóstico de DM2 sin retinopatía diabética y con tamizaje de retinopatía diabética vigente.

Fuente: Serie P-> REM P4 -> Sección C: Variables de seguimiento de PSCV al corte -> Personas con diabetes en el PSCV ->Con tamizaje de retinopatía diabética vigente","Número de personas bajo control con diagnóstico de DM2 sin retinopatía diabética 
(diferencia entre el número de personas bajo control con diagnóstico de DM2 y el número de personas con diagnostico de DM2 con retinopatía diabética)

*Personas bajo control con diagnóstico de DM2:
Fuente: Serie P -> REM P4 Sección A -> Número de personas en PSCV ->Personas bajo control según patología y factores de riesgo -> Diabetes mellitus tipo 2

*Personas bajo control con diagnóstico de DM2 y con retinopatía diabética
Fuente: Serie P->REM P4->Sección C: Variables de seguimiento del PSCV al corte ->Personas con diabetes en el PSCV->Con retinopatía diabética",100.0,S/D,,S/D,S/D,S/D,,0.4162979661188029,148476.0,356658.0,,
12.2,12b,12,"Porcentaje de personas con diagnóstico de DM2, con evaluación de fondo de ojo (FO) vigente",DM2 y seguimiento,REM P4,Exacto,"Número de personas de 15 años y más con diabetes mellitus y evaluación de fondo de ojo vigente (12 meses).

Fuente: Serie P -> REM P4 -> Sección C: Variables de seguimiento del PSCV al corte -> Personas con diabetes en el PSCV -> Con fondo de ojo vigente","Número de personas bajo control con diagnóstico de DM2, en el año x.

Fuente: Serie P -> REM P4 Sección A -> Número de personas en PSCV -> Personas bajo control según patología y factores de riesgo -> Diabetes mellitus tipo 2",100.0,0.365,0.271,0.360471104480327,0.404,0.446,0.472,,,,2025.0,0.472
