Ano,indicador_id,nombre_indicador,grupo_indicador,unidad,estado_calculo,metodo_calculo,numerador,denominador,establecimientos_reportantes,establecimientos_con_denominador,nivel,calculable,valor,IdServicio,servicio_salud,IdComuna,comuna,IdEstablecimiento,establecimiento,tipo_establecimiento,dependencia,nivel_atencion,estado_funcionamiento,es_aps,valor_orden
2024,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",738373.0,1272273.06,287,283,rm,True,58.03573330398114,,,,,,,,,,,,58.03573330398114
2024,2,Control de HTA,HTA y HEARTS,%,calculado,"Mes 12, Col01 total.",476264.0,738373.0,285,287,rm,True,64.50181683241397,,,,,,,,,,,,64.50181683241397
2024,3,Cobertura efectiva (tasa de control poblacional) de HTA,HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",476264.0,1272273.06,285,283,rm,True,37.434102393082185,,,,,,,,,,,,37.434102393082185
2024,4,"Porcentaje de personas con diagnóstico de HTA, muy descompensadas",HTA y HEARTS,%,calculado,"Mes 12, Col01 total.",32167.0,738373.0,278,287,rm,True,4.356470239296399,,,,,,,,,,,,4.356470239296399
2024,6,Cobertura de diabetes mellitus tipo 2 (DM2),DM2 y seguimiento,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",358880.0,566991.255,288,283,rm,True,63.29550885224853,,,,,,,,,,,,63.29550885224853
2024,7,Control de DM2,DM2 y seguimiento,%,calculado,"Mes 12, Col01 total.",159840.0,358880.0,286,288,rm,True,44.53856442264824,,,,,,,,,,,,44.53856442264824
2024,8,Cobertura efectiva (tasa de control poblacional) de DM2,DM2 y seguimiento,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",159840.0,566991.255,286,283,rm,True,28.190910986801725,,,,,,,,,,,,28.190910986801725
2024,9,"Porcentaje de personas con diagnóstico de DM2, muy descompensadas",DM2 y seguimiento,%,calculado,"Mes 12, Col01 total.",69132.0,358880.0,282,288,rm,True,19.263263486402142,,,,,,,,,,,,19.263263486402142
2024,10,"Porcentaje de personas con diagnóstico de DM2, compensada, usuarias de insulina",DM2 y seguimiento,%,calculado,"Mes 12, Col01 total.",23038.0,108051.0,276,285,rm,True,21.3214130364365,,,,,,,,,,,,21.3214130364365
2024,11,"Porcentaje de personas con diagnóstico de DM2, con evaluación de pie diabético vigente",DM2 y seguimiento,%,calculado,"Mes 12, Col01 total.",284564.0,358880.0,283,288,rm,True,79.29224253232279,,,,,,,,,,,,79.29224253232279
2024,12b,"Porcentaje de personas con diagnóstico de DM2, con evaluación de fondo de ojo vigente",DM2 y seguimiento,%,calculado,"Mes 12, Col01 total.",149077.0,358880.0,279,288,rm,True,41.53951181453411,,,,,,,,,,,,41.53951181453411
2024,13,"Porcentaje de personas con diagnóstico de HTA, con evaluación de función renal",Función renal y ERC,%,calculado,"Mes 12, Col01 total.",447551.0,738373.0,281,287,rm,True,60.61313184528687,,,,,,,,,,,,60.61313184528687
2024,14,"Porcentaje de personas con diagnóstico de DM2, con evaluación de función renal",Función renal y ERC,%,calculado,"Mes 12, Col01 total.",230723.0,358880.0,282,288,rm,True,64.28973473027196,,,,,,,,,,,,64.28973473027196
2024,16,"Porcentaje de personas con diagnóstico de ECV, en tratamiento con antiagregante plaquetario",ECV y prevención secundaria,%,proxy,"Proxy 2024 con código consolidado previo P4190930, Mes 12, Col01 total.",40881.0,95604.0,274,286,rm,True,42.76076314798544,,,,,,,,,,,,42.76076314798544
2024,17,"Porcentaje de personas con diagnóstico de ECV, en tratamiento con estatinas",ECV y prevención secundaria,%,proxy,"Proxy 2024 con código consolidado previo P4190940, Mes 12, Col01 total.",50413.0,95604.0,276,286,rm,True,52.73105727793816,,,,,,,,,,,,52.73105727793816
2025,1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",746579.0,1324122.696,286,288,rm,True,56.3829169498655,,,,,,,,,,,,56.3829169498655
2025,2,Control de HTA,HTA y HEARTS,%,calculado,"Mes 12, Col01 total.",519357.0,746579.0,283,286,rm,True,69.5649087370526,,,,,,,,,,,,69.5649087370526
2025,3,Cobertura efectiva (tasa de control poblacional) de HTA,HTA y HEARTS,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",519357.0,1324122.696,283,288,rm,True,39.2227247194621,,,,,,,,,,,,39.2227247194621
2025,4,"Porcentaje de personas con diagnóstico de HTA, muy descompensadas",HTA y HEARTS,%,calculado,"Mes 12, Col01 total.",37386.0,746579.0,277,286,rm,True,5.007641522196579,,,,,,,,,,,,5.007641522196579
2025,6,Cobertura de diabetes mellitus tipo 2 (DM2),DM2 y seguimiento,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",366685.0,590098.158,287,288,rm,True,62.13966185605344,,,,,,,,,,,,62.13966185605344
2025,7,Control de DM2,DM2 y seguimiento,%,calculado,"Mes 12, Col01 total.",172748.0,366685.0,285,287,rm,True,47.110735372322296,,,,,,,,,,,,47.110735372322296
2025,8,Cobertura efectiva (tasa de control poblacional) de DM2,DM2 y seguimiento,%,calculado,"Mes 12, Col01 total; numerador con todos los reportantes REM P4 RM y denominador PIV APS.",172748.0,590098.158,285,288,rm,True,29.27445165826123,,,,,,,,,,,,29.27445165826123
2025,9,"Porcentaje de personas con diagnóstico de DM2, muy descompensadas",DM2 y seguimiento,%,calculado,"Mes 12, Col01 total.",72074.0,366685.0,283,287,rm,True,19.655562676411634,,,,,,,,,,,,19.655562676411634
2025,10,"Porcentaje de personas con diagnóstico de DM2, compensada, usuarias de insulina",DM2 y seguimiento,%,calculado,"Mes 12, Col01 total.",24430.0,109234.0,278,284,rm,True,22.36483146273138,,,,,,,,,,,,22.36483146273138
2025,11,"Porcentaje de personas con diagnóstico de DM2, con evaluación de pie diabético vigente",DM2 y seguimiento,%,calculado,"Mes 12, Col01 total.",310613.0,366685.0,283,287,rm,True,84.70840094358918,,,,,,,,,,,,84.70840094358918
2025,12b,"Porcentaje de personas con diagnóstico de DM2, con evaluación de fondo de ojo vigente",DM2 y seguimiento,%,calculado,"Mes 12, Col01 total.",163859.0,366685.0,274,287,rm,True,44.68658385262555,,,,,,,,,,,,44.68658385262555
2025,13,"Porcentaje de personas con diagnóstico de HTA, con evaluación de función renal",Función renal y ERC,%,calculado,"Mes 12, Col01 total.",480977.0,746579.0,280,286,rm,True,64.42412658271931,,,,,,,,,,,,64.42412658271931
2025,14,"Porcentaje de personas con diagnóstico de DM2, con evaluación de función renal",Función renal y ERC,%,calculado,"Mes 12, Col01 total.",247288.0,366685.0,281,287,rm,True,67.43880987768793,,,,,,,,,,,,67.43880987768793
2025,15,Porcentaje de personas con diagnóstico de DM y ERC en tratamiento de prevención secundaria de ERC,Función renal y ERC,%,calculado,"Mes 12, Col01 total.",77011.0,116452.0,269,279,rm,True,66.1311098134854,,,,,,,,,,,,66.1311098134854
2025,16,"Porcentaje de personas con diagnóstico de ECV, en tratamiento con antiagregante plaquetario",ECV y prevención secundaria,%,calculado,"Mes 12, Col01 total.",44696.0,95819.0,278,282,rm,True,46.64628100898569,,,,,,,,,,,,46.64628100898569
2025,17,"Porcentaje de personas con diagnóstico de ECV, en tratamiento con estatinas",ECV y prevención secundaria,%,calculado,"Mes 12, Col01 total.",52663.0,95819.0,276,282,rm,True,54.960915893507554,,,,,,,,,,,,54.960915893507554
