indicador_id,nombre_indicador,grupo_indicador,ano,valor,valor_disponible
1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,2019,0.633,True
1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,2021,,False
1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,2022,0.582,True
1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,2023,0.603,True
1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,2024,0.569,True
1,Cobertura de hipertensión arterial (HTA),HTA y HEARTS,2025,0.612,True
2,Control de HTA,HTA y HEARTS,2019,0.695,True
2,Control de HTA,HTA y HEARTS,2021,,False
2,Control de HTA,HTA y HEARTS,2022,0.611,True
2,Control de HTA,HTA y HEARTS,2023,0.632,True
2,Control de HTA,HTA y HEARTS,2024,0.647,True
2,Control de HTA,HTA y HEARTS,2025,,False
3,Cobertura efectiva (tasa de control poblacional) de HTA,HTA y HEARTS,2019,0.44,True
3,Cobertura efectiva (tasa de control poblacional) de HTA,HTA y HEARTS,2021,,False
3,Cobertura efectiva (tasa de control poblacional) de HTA,HTA y HEARTS,2022,0.356,True
3,Cobertura efectiva (tasa de control poblacional) de HTA,HTA y HEARTS,2023,0.376,True
3,Cobertura efectiva (tasa de control poblacional) de HTA,HTA y HEARTS,2024,0.368,True
3,Cobertura efectiva (tasa de control poblacional) de HTA,HTA y HEARTS,2025,0.407,True
4,"Porcentaje de personas con diagnóstico de HTA, muy descompensadas",HTA y HEARTS,2019,0.052,True
4,"Porcentaje de personas con diagnóstico de HTA, muy descompensadas",HTA y HEARTS,2021,,False
4,"Porcentaje de personas con diagnóstico de HTA, muy descompensadas",HTA y HEARTS,2022,0.0644,True
4,"Porcentaje de personas con diagnóstico de HTA, muy descompensadas",HTA y HEARTS,2023,0.0595,True
4,"Porcentaje de personas con diagnóstico de HTA, muy descompensadas",HTA y HEARTS,2024,0.053,True
4,"Porcentaje de personas con diagnóstico de HTA, muy descompensadas",HTA y HEARTS,2025,0.07,True
5,Cobertura de evaluación del Índice de Madurez HEARTS,HTA y HEARTS,2019,,False
5,Cobertura de evaluación del Índice de Madurez HEARTS,HTA y HEARTS,2021,,False
5,Cobertura de evaluación del Índice de Madurez HEARTS,HTA y HEARTS,2022,,False
5,Cobertura de evaluación del Índice de Madurez HEARTS,HTA y HEARTS,2023,,False
5,Cobertura de evaluación del Índice de Madurez HEARTS,HTA y HEARTS,2024,,False
5,Cobertura de evaluación del Índice de Madurez HEARTS,HTA y HEARTS,2025,,False
6,Cobertura de diabetes mellitus tipo 2 (DM2),DM2 y seguimiento,2019,0.675,True
6,Cobertura de diabetes mellitus tipo 2 (DM2),DM2 y seguimiento,2021,,False
6,Cobertura de diabetes mellitus tipo 2 (DM2),DM2 y seguimiento,2022,0.664,True
6,Cobertura de diabetes mellitus tipo 2 (DM2),DM2 y seguimiento,2023,0.696,True
6,Cobertura de diabetes mellitus tipo 2 (DM2),DM2 y seguimiento,2024,0.649,True
6,Cobertura de diabetes mellitus tipo 2 (DM2),DM2 y seguimiento,2025,0.732,True
7,Control de DM2,DM2 y seguimiento,2019,0.47,True
7,Control de DM2,DM2 y seguimiento,2021,,False
7,Control de DM2,DM2 y seguimiento,2022,0.415,True
7,Control de DM2,DM2 y seguimiento,2023,0.444,True
7,Control de DM2,DM2 y seguimiento,2024,0.453,True
7,Control de DM2,DM2 y seguimiento,2025,,False
8,Cobertura efectiva (tasa de control poblacional) de DM2,DM2 y seguimiento,2019,0.317,True
8,Cobertura efectiva (tasa de control poblacional) de DM2,DM2 y seguimiento,2021,,False
8,Cobertura efectiva (tasa de control poblacional) de DM2,DM2 y seguimiento,2022,0.276,True
8,Cobertura efectiva (tasa de control poblacional) de DM2,DM2 y seguimiento,2023,0.305,True
8,Cobertura efectiva (tasa de control poblacional) de DM2,DM2 y seguimiento,2024,0.294,True
8,Cobertura efectiva (tasa de control poblacional) de DM2,DM2 y seguimiento,2025,0.323,True
9,"Porcentaje de personas con diagnóstico de DM2, muy descompensadas",DM2 y seguimiento,2019,0.192,True
9,"Porcentaje de personas con diagnóstico de DM2, muy descompensadas",DM2 y seguimiento,2021,,False
9,"Porcentaje de personas con diagnóstico de DM2, muy descompensadas",DM2 y seguimiento,2022,0.199,True
9,"Porcentaje de personas con diagnóstico de DM2, muy descompensadas",DM2 y seguimiento,2023,0.189,True
9,"Porcentaje de personas con diagnóstico de DM2, muy descompensadas",DM2 y seguimiento,2024,0.199,True
9,"Porcentaje de personas con diagnóstico de DM2, muy descompensadas",DM2 y seguimiento,2025,0.197,True
10,"Porcentaje de personas con diagnóstico de DM2, compensada, usuarias de insulina",DM2 y seguimiento,2019,0.238,True
10,"Porcentaje de personas con diagnóstico de DM2, compensada, usuarias de insulina",DM2 y seguimiento,2021,,False
10,"Porcentaje de personas con diagnóstico de DM2, compensada, usuarias de insulina",DM2 y seguimiento,2022,0.236,True
10,"Porcentaje de personas con diagnóstico de DM2, compensada, usuarias de insulina",DM2 y seguimiento,2023,0.227,True
10,"Porcentaje de personas con diagnóstico de DM2, compensada, usuarias de insulina",DM2 y seguimiento,2024,0.221,True
10,"Porcentaje de personas con diagnóstico de DM2, compensada, usuarias de insulina",DM2 y seguimiento,2025,0.24,True
11,"Porcentaje de personas con diagnóstico de DM2, con evaluación de pie diabético vigente",DM2 y seguimiento,2019,0.81,True
11,"Porcentaje de personas con diagnóstico de DM2, con evaluación de pie diabético vigente",DM2 y seguimiento,2021,,False
11,"Porcentaje de personas con diagnóstico de DM2, con evaluación de pie diabético vigente",DM2 y seguimiento,2022,0.765,True
11,"Porcentaje de personas con diagnóstico de DM2, con evaluación de pie diabético vigente",DM2 y seguimiento,2023,0.8,True
11,"Porcentaje de personas con diagnóstico de DM2, con evaluación de pie diabético vigente",DM2 y seguimiento,2024,0.828,True
11,"Porcentaje de personas con diagnóstico de DM2, con evaluación de pie diabético vigente",DM2 y seguimiento,2025,0.83,True
12a,Porcentaje de personas con diagnóstico de DM2 y tamizaje de RD vigente,DM2 y seguimiento,2019,S/D,False
12a,Porcentaje de personas con diagnóstico de DM2 y tamizaje de RD vigente,DM2 y seguimiento,2021,,False
12a,Porcentaje de personas con diagnóstico de DM2 y tamizaje de RD vigente,DM2 y seguimiento,2022,S/D,False
12a,Porcentaje de personas con diagnóstico de DM2 y tamizaje de RD vigente,DM2 y seguimiento,2023,S/D,False
12a,Porcentaje de personas con diagnóstico de DM2 y tamizaje de RD vigente,DM2 y seguimiento,2024,S/D,False
12a,Porcentaje de personas con diagnóstico de DM2 y tamizaje de RD vigente,DM2 y seguimiento,2025,,False
12b,"Porcentaje de personas con diagnóstico de DM2, con evaluación de fondo de ojo (FO) vigente",DM2 y seguimiento,2019,0.365,True
12b,"Porcentaje de personas con diagnóstico de DM2, con evaluación de fondo de ojo (FO) vigente",DM2 y seguimiento,2021,0.271,True
12b,"Porcentaje de personas con diagnóstico de DM2, con evaluación de fondo de ojo (FO) vigente",DM2 y seguimiento,2022,0.360471104480327,True
