AnoIndicador,AnoInscritos,BasePago,IdEstablecimiento,IdEstablecimiento_denominador_original,servicio_salud_denominador,dependencia_denominador,comuna_denominador,establecimiento_denominador,poblacion_inscrita_validada_15_mas,poblacion_inscrita_validada_15_mas_hombres,poblacion_inscrita_validada_15_mas_mujeres,poblacion_estimada_hta_15_mas,poblacion_estimada_dm2_15_mas,EstablecimientoCodigoAntiguo_master,EstablecimientoCodigo_master,codigo_madre_master,RegionCodigo_master,RegionGlosa_master,IdServicio_master,servicio_salud_master,tipo_establecimiento_master,establecimiento_master,dependencia_master,nivel_atencion_master,IdComuna_master,comuna_master,estado_funcionamiento_master,es_aps,sin_match_master
2023,2022,2023,109300,109300,Servicio de Salud Metropolitano Norte,Municipal,Independencia,Centro de Salud Familiar Agustín Cruz Melo,45407,16897,28499,12532.332,5585.061,09-300,109300,,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Agustín Cruz Melo,Municipal,Primario,13108,Independencia,Vigente en Operación Habitual,True,False
2023,2022,2023,109301,109301,Servicio de Salud Metropolitano Norte,Municipal,Recoleta,Centro de Salud Familiar Recoleta,31156,12722,18432,8599.056,3832.188,09-301,109301,,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Recoleta,Municipal,Primario,13127,Recoleta,Vigente en Operación Habitual,True,False
2023,2022,2023,109302,109302,Servicio de Salud Metropolitano Norte,Municipal,Conchalí,Centro de Salud Familiar Lucas Sierra,24773,11007,13766,6837.348,3047.079,09-302,109302,,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Lucas Sierra,Municipal,Primario,13104,Conchalí,Vigente en Operación Habitual,True,False
2023,2022,2023,109303,109303,Servicio de Salud Metropolitano Norte,Municipal,Recoleta,Centro de Salud Familiar Quinta Bella,23508,10498,13009,6488.208,2891.484,09-303,109303,,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Quinta Bella,Municipal,Primario,13127,Recoleta,Vigente en Operación Habitual,True,False
2023,2022,2023,109304,109304,Servicio de Salud Metropolitano Norte,Municipal,Recoleta,Centro de Salud Familiar Valdivieso,8367,3881,4486,2309.292,1029.141,09-304,109304,,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Valdivieso,Municipal,Primario,13127,Recoleta,Vigente en Operación Habitual,True,False
2023,2022,2023,109305,109305,Servicio de Salud Metropolitano Norte,Municipal,Huechuraba,Centro de Salud Familiar  La Pincoya,21342,9935,11407,5890.392,2625.066,09-305,109305,,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar La Pincoya,Municipal,Primario,13107,Huechuraba,Vigente en Operación Habitual,True,False
2023,2022,2023,109307,109307,Servicio de Salud Metropolitano Norte,Municipal,Recoleta,Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie),19378,9033,10345,5348.328,2383.494,09-307,109307,,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Dr. Juan Petrinovic (Ex Scroggie),Municipal,Primario,13127,Recoleta,Vigente en Operación Habitual,True,False
2023,2022,2023,109308,109308,Servicio de Salud Metropolitano Norte,Municipal,Conchalí,Centro de Salud Familiar Alberto Bachelet Martínez,24597,11379,13218,6788.772,3025.431,09-308,109308,,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Alberto Bachelet Martínez,Municipal,Primario,13104,Conchalí,Vigente en Operación Habitual,True,False
2023,2022,2023,109309,109309,Servicio de Salud Metropolitano Norte,Municipal,Conchalí,Centro de Salud Familiar José Symon Ojeda,23455,10792,12663,6473.58,2884.965,09-309,109309,,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar José Symon Ojeda,Municipal,Primario,13104,Conchalí,Vigente en Operación Habitual,True,False
2023,2022,2023,109310,109310,Servicio de Salud Metropolitano Norte,Municipal,Colina,Centro de Salud Familiar Colina,46132,24340,21791,12732.432,5674.236,09-310,109310,,13,Metropolitana de Santiago,09,Servicio de Salud Metropolitano Norte,Centro de Salud Familiar (CESFAM),Centro de Salud Familiar Colina,Municipal,Primario,13301,Colina,Vigente en Operación Habitual,True,False
